vaalipiiri,id,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.
02 Uudenmaan vaalipiiri,5490,Frantsi-Lankia,Marjut,Suomen Keskusta,50,F,0
12 Oulun vaalipiiri,4219,Fredriksson,Tiina,Suomen ruotsalainen kansanpuolue,47,F,0
10 Vaasan vaalipiiri,4670,Frostdahl,Steven ,Suomen Sosialidemokraattinen Puolue,41,M,0
02 Uudenmaan vaalipiiri,5697,Fryckman,Peter,Muutos 2011,63,M,0
04 Satakunnan vaalipiiri,5357,Furuholm,Tapio,Vasemmistoliitto,63,M,0
03 Varsinais-Suomen vaalipiiri,5824,Fältberg,Katri,Suomen Kristillisdemokraatit (KD),40,F,0
13 Lapin vaalipiiri,6164,gaup-juuso ,andte,Suomen ruotsalainen kansanpuolue,23,M,0
01 Helsingin vaalipiiri,5823,Gayer,Patrik,Suomen ruotsalainen kansanpuolue,28,M,0
09 Savo-Karjalan vaalipiiri,5360,Giray,Ali ,Vihreä liitto,31,M,0
02 Uudenmaan vaalipiiri,5583,Graeffe,Petri,Kansallinen Kokoomus,46,M,0
06 Hämeen vaalipiiri,4546,Grahn-Laasonen,Sanni,Kansallinen Kokoomus,31,F,1
01 Helsingin vaalipiiri,4300,Granberg-Haakana,"Charlotte ""Lotte""",Suomen ruotsalainen kansanpuolue,37,F,0
01 Helsingin vaalipiiri,5884,Grandén,Ira,Suomen ruotsalainen kansanpuolue,0,F,0
01 Helsingin vaalipiiri,5304,Grimm,Karl-Mikael,Suomen Keskusta,22,M,0
04 Satakunnan vaalipiiri,4699,Grundström,Tuomo,Vasemmistoliitto,62,M,0
08 Kaakkois-Suomen vaalipiiri,5774,Grün,Saija,Vihreä liitto,39,F,0
09 Savo-Karjalan vaalipiiri,5844,Gröhn,Marja-Leena ,Perussuomalaiset,50,F,0
01 Helsingin vaalipiiri,4730,Grön ,Pipsa ,Piraattipuolue,62,F,0
02 Uudenmaan vaalipiiri,5727,Gröndahl,Heidi,Vasemmistoliitto,32,F,0
07 Pirkanmaan vaalipiiri,4727,Grönfors,Mervi,Suomen Kommunistinen Puolue,52,F,0
10 Vaasan vaalipiiri,4745,Grönlund,Immanuel,Vasemmistoliitto,33,M,0
02 Uudenmaan vaalipiiri,5366,Grönroos,Niklas,Suomen ruotsalainen kansanpuolue,50,M,0
07 Pirkanmaan vaalipiiri,5517,Gustafsson,Jukka,Suomen Sosialidemokraattinen Puolue,68,M,1
02 Uudenmaan vaalipiiri,4858,Guzenina,Maria,Suomen Sosialidemokraattinen Puolue,46,F,1
02 Uudenmaan vaalipiiri,5608,Gyllenbögel,Riitta,Vasemmistoliitto,39,F,0
10 Vaasan vaalipiiri,6059,Gästgivars,Lars-Erik,Suomen ruotsalainen kansanpuolue,0,M,0
01 Helsingin vaalipiiri,5804,Haaja,Ilpo,Vasemmistoliitto,56,M,0
09 Savo-Karjalan vaalipiiri,4464,Haakana,Marko,Vasemmistoliitto,47,M,0
08 Kaakkois-Suomen vaalipiiri,4153,Haakana,Mervi,Vihreä liitto,44,F,0
03 Varsinais-Suomen vaalipiiri,5945,Haalisto,Ilpo,Perussuomalaiset,48,M,0
07 Pirkanmaan vaalipiiri,4754,Haapa-aho,Olga,Vihreä liitto,27,F,0
03 Varsinais-Suomen vaalipiiri,4327,Haapakoski,Juha,Kansallinen Kokoomus,59,M,0
06 Hämeen vaalipiiri,5506,Haapala,Mikko,Vihreä liitto,51,M,0
11 Keski-Suomen vaalipiiri,4556,Haapala,Onni ,Suomen Kristillisdemokraatit (KD),65,M,0
07 Pirkanmaan vaalipiiri,4386,Haapala,Riitta,Suomen Kristillisdemokraatit (KD),49,F,0
02 Uudenmaan vaalipiiri,4586,Haapalainen,Johannes,Suomen Kristillisdemokraatit (KD),44,M,0
03 Varsinais-Suomen vaalipiiri,4533,Haapanen,Ari-Pekka,Perussuomalaiset,42,M,0
07 Pirkanmaan vaalipiiri,5312,Haapaniemi,Jari,Kansallinen Kokoomus,43,M,0
10 Vaasan vaalipiiri,5423,Haapaniemi,Mari,Vasemmistoliitto,42,F,0
01 Helsingin vaalipiiri,5777,Haatainen,Tuula ,Suomen Sosialidemokraattinen Puolue,55,F,0
04 Satakunnan vaalipiiri,5950,Haavisto,Minna,Vihreä liitto,0,,0
01 Helsingin vaalipiiri,5861,Haavisto,Pekka,Vihreä liitto,57,M,1
13 Lapin vaalipiiri,6134,Hacklin,Pekka,Kansallinen Kokoomus,0,M,0
02 Uudenmaan vaalipiiri,5908,Haglund,Carl,Suomen ruotsalainen kansanpuolue,36,M,0
01 Helsingin vaalipiiri,5050,Haglund,Mia,Vasemmistoliitto,29,F,0
02 Uudenmaan vaalipiiri,5067,Hagman,Marita,Itsenäisyyspuolue,57,F,0
09 Savo-Karjalan vaalipiiri,4396,Hahtala,Mia,Suomen Sosialidemokraattinen Puolue,42,F,0
04 Satakunnan vaalipiiri,6162,Hakala,Olli-Pekka,Muutos 2011,50,M,0
10 Vaasan vaalipiiri,6047,Hakala,Tapio,Suomen Kommunistinen Puolue,0,M,0
07 Pirkanmaan vaalipiiri,5244,Hakanen,Pertti,Suomen Keskusta,45,M,0
07 Pirkanmaan vaalipiiri,6003,Hakanen,Teuvo,Suomen Keskusta,0,M,0
01 Helsingin vaalipiiri,4320,Hakanen,Yrjö,Suomen Kommunistinen Puolue,62,M,0
12 Oulun vaalipiiri,5592,Hakkarainen,Janne,Vihreä liitto,27,M,0
11 Keski-Suomen vaalipiiri,5301,Hakkarainen,Teuvo,Perussuomalaiset,54,M,1
01 Helsingin vaalipiiri,4346,Hakola,Juha,Kansallinen Kokoomus,47,M,0
07 Pirkanmaan vaalipiiri,4214,Hakola,Marika,Suomen Kristillisdemokraatit (KD),36,F,0
10 Vaasan vaalipiiri,5780,Hakola,Taija,Kansallinen Kokoomus,67,F,0
04 Satakunnan vaalipiiri,4731,Halme,Niina,Muutos 2011,38,F,0
12 Oulun vaalipiiri,5186,Halmeenpää,Hanna,Vihreä liitto,39,F,0
12 Oulun vaalipiiri,4884,Halonen,Sari,Suomen Sosialidemokraattinen Puolue,48,F,0
11 Keski-Suomen vaalipiiri,4613,Halttunen,Jari,Perussuomalaiset,45,M,0
12 Oulun vaalipiiri,6106,Halunen,Janne,Perussuomalaiset,32,M,0
07 Pirkanmaan vaalipiiri,5553,Hanhilahti,Timo,Suomen Keskusta,60,M,0
10 Vaasan vaalipiiri,5112,Hanhisalo,Maria,Suomen Kristillisdemokraatit (KD),48,F,0
01 Helsingin vaalipiiri,5879,Hannikainen,Ari,Suomen Kommunistinen Puolue,0,M,0
13 Lapin vaalipiiri,6132,Hannola,Jaana,Perussuomalaiset,0,F,0
06 Hämeen vaalipiiri,4920,Hannukainen,Tony,Piraattipuolue,24,M,0
03 Varsinais-Suomen vaalipiiri,5935,Hannula,Raino,Suomen Kristillisdemokraatit (KD),63,M,0
04 Satakunnan vaalipiiri,5089,Hannus,Kari,Kansallinen Kokoomus,62,M,0
02 Uudenmaan vaalipiiri,4173,Happonen,Auli,Suomen Kristillisdemokraatit (KD),51,F,0
01 Helsingin vaalipiiri,4170,Happonen,Jaakob,Suomen Kristillisdemokraatit (KD),58,M,0
02 Uudenmaan vaalipiiri,5572,Harakka,Timo,Suomen Sosialidemokraattinen Puolue,52,M,0
02 Uudenmaan vaalipiiri,4679,Harju,Jorma,Suomen Kristillisdemokraatit (KD),41,M,0
13 Lapin vaalipiiri,6122,Harju-Autti,Leena,Kansallinen Kokoomus,0,F,0
